record id,sex,smoker,day,time,size,total_bill,tip,tip_rate
1,Female,No,Sun,Dinner,2,16.99,1.01,5.9446733372572105
2,Male,No,Sun,Dinner,3,10.34,1.66,16.054158607350097
3,Male,No,Sun,Dinner,3,21.01,3.5,16.658733936220845
4,Male,No,Sun,Dinner,2,23.68,3.31,13.97804054054054
5,Female,No,Sun,Dinner,4,24.59,3.61,14.680764538430255
6,Male,No,Sun,Dinner,4,25.29,4.71,18.62396204033215
7,Male,No,Sun,Dinner,2,8.77,2.0,22.80501710376283
8,Male,No,Sun,Dinner,4,26.88,3.12,11.607142857142858
9,Male,No,Sun,Dinner,2,15.04,1.96,13.031914893617023
10,Male,No,Sun,Dinner,2,14.78,3.23,21.853856562922868
11,Male,No,Sun,Dinner,2,10.27,1.71,16.65043816942551
12,Female,No,Sun,Dinner,4,35.26,5.0,14.180374361883155
13,Male,No,Sun,Dinner,2,15.42,1.57,10.181582360570687
14,Male,No,Sun,Dinner,4,18.43,3.0,16.277807921866522
15,Female,No,Sun,Dinner,2,14.83,3.02,20.364126770060686
16,Male,No,Sun,Dinner,2,21.58,3.92,18.164967562557923
17,Female,No,Sun,Dinner,3,10.33,1.67,16.16650532429816
18,Male,No,Sun,Dinner,3,16.29,3.71,22.774708410067525
19,Female,No,Sun,Dinner,3,16.97,3.5,20.624631703005306
20,Male,No,Sat,Dinner,3,20.65,3.35,16.222760290556902
21,Male,No,Sat,Dinner,2,17.92,4.08,22.767857142857142
22,Female,No,Sat,Dinner,2,20.29,2.75,13.553474618038445
23,Female,No,Sat,Dinner,2,15.77,2.23,14.140773620798985
24,Male,No,Sat,Dinner,4,39.42,7.58,19.228817858954844
25,Male,No,Sat,Dinner,2,19.82,3.18,16.044399596367306
26,Male,No,Sat,Dinner,4,17.81,2.34,13.138686131386862
27,Male,No,Sat,Dinner,2,13.37,2.0,14.958863126402393
28,Male,No,Sat,Dinner,2,12.69,2.0,15.760441292356187
29,Male,No,Sat,Dinner,2,21.7,4.3,19.81566820276498
30,Female,No,Sat,Dinner,2,19.65,3.0,15.267175572519085
31,Male,No,Sat,Dinner,2,9.55,1.45,15.18324607329843
32,Male,No,Sat,Dinner,4,18.35,2.5,13.623978201634875
33,Female,No,Sat,Dinner,2,15.06,3.0,19.9203187250996
34,Female,No,Sat,Dinner,4,20.69,2.45,11.841469308844852
35,Male,No,Sat,Dinner,2,17.78,3.27,18.391451068616423
36,Male,No,Sat,Dinner,3,24.06,3.6,14.962593516209477
37,Male,No,Sat,Dinner,3,16.31,2.0,12.262415695892091
38,Female,No,Sat,Dinner,3,16.93,3.07,18.13349084465446
39,Male,No,Sat,Dinner,3,18.69,2.31,12.359550561797752
40,Male,No,Sat,Dinner,3,31.27,5.0,15.98976654940838
41,Male,No,Sat,Dinner,3,16.04,2.24,13.965087281795514
42,Male,No,Sun,Dinner,2,17.46,2.54,14.547537227949597
43,Male,No,Sun,Dinner,2,13.94,3.06,21.951219512195124
44,Male,No,Sun,Dinner,2,9.68,1.32,13.636363636363638
45,Male,No,Sun,Dinner,4,30.4,5.6,18.421052631578945
46,Male,No,Sun,Dinner,2,18.29,3.0,16.402405686167302
47,Male,No,Sun,Dinner,2,22.23,5.0,22.492127755285647
48,Male,No,Sun,Dinner,4,32.4,6.0,18.51851851851852
49,Male,No,Sun,Dinner,3,28.55,2.05,7.180385288966725
50,Male,No,Sun,Dinner,2,18.04,3.0,16.629711751662974
51,Male,No,Sun,Dinner,2,12.54,2.5,19.936204146730464
